Id,Clientes,Transacción,Categoría,Descripción,Precio,TipoContrato,Superficie,Área,Dirección,ÁreaInterior,Habitaciones,Baños,Edad,Edad_prom,Piso,Administración,Barrio,Estrato,Garages,Extras,Latitud,Longitud,PrecioM2,Ascensor,Depósito,ModifyDate,Link
0,Century 21 Abundanza,Venta,Apartamento,"Maravilloso apartamento en segundo piso. 109 metros. Sala-comedor amplios con chimenea,  patio con domo corredizo privado,  estudio amplio,  vista sobre calle con doble vidrio que aísla el sonido exterior. Edificio con ascensor desde parqueadero. Parqueadero cubierto en sótano. Vías de acceso: carreras 50 y 51,  avenida suba y Autopista norte y calle 103 B. Frente a carulla,  en la esquina de Auros copias,  cerca a centro comercial.Maravilloso apartamento en segundo piso. 109 metros. Sala-comedor amplios con chimenea,  patio con domo corredizo privado,  estudio amplio,  vista sobre calle con doble vidrio que aísla el sonido exterior. Edificio con ascensor desde parqueadero. Parqueadero cubierto en sótano. Vías de acceso: carreras 50 y 51,  avenida suba y Autopista norte y calle 103 B. Frente a carulla,  en la esquina de Auros copias,  cerca a centro comercial.Maravilloso apartamento en segundo piso. 109 metros. Sala-comedor amplios con chimenea,  patio con domo corredizo privado,  estudio amplio,  vista sobre",448000000,Professional,109,109,"Calle 103 B 51 - 41, Pasadena, Zona Noroccidente, Bogotá, Cundinamarca","109,00 m2",3,2,16 a 30 años,23.0,2,680000,Pasadena,2,1,"#All#$|Interiores$Ascensores Comunales, Baño Auxiliar, Baño Independiente, Calentador, Chimenea, Citófono, Closet, Cocina Integral, Con administrador, Estudio, Garaje Cubierto, Hall de Alcobas, Instalación de gas, Puerta de seguridad, Servicios Públicos, Shut de basura, Todos los Servicios, Ubicada en edificio, Zona de lavandería|Exteriores$Acceso Pavimentado, Ascensor, Baños Públicos, Circuito cerrado de TV, En Edificio, En zona Comercial, En zona residencial, Garaje Cubierto, Portería / Recepción, Portería / Vigilancia, Ubicada en edificio, Vigilancia, Vigilancia 24x7, Vigilancia privada 24*7|del Sector$Cerca a sector comercial, Cerca centro comercial, Colegios / Universidades, Cómodas vias de acceso, Parques cercanos, Seguridad, Sobre vía secundaria, Supermercados / C.Comerciales, Trans. Público cercano, Zona Residencial",4.69145154953003,-74.0623779296875,4110091.74,1,0,3/5/2021 8:16:49 PM,https://www.fincaraiz.com.co/apartamento-en-venta/bogota/pasadena-det-6143178.aspx
1,Diana Villamil,Venta,Apartamento,"Apartamento con ubicación en Pasadena diagonal a Iglesia Santo Domingo Savio, Iluminado, altura de 3,40mts, cocina abierta con horno microondas y lavaplatos eléctrico, área Social se compone de sala y comedor independiente con chimenea. Consta de 3 habitaciones, la principal con Baño y Jacuzzi, Estudio, cuarto de lavandería, incluye  terraza de 74 mts, depósito y 3 parqueaderos.",820000000,Particular,188,188,CR 51 103B - 60,"188,00 m2",3,3,1 a 8 años,4.5,5,0,Pasadena,5,3,"Interiores$Balcón, Barra estilo americano, Calentador, Chimenea, Cocina Integral, Cocina tipo Americano, Depósito / Bodega, Estudio, Hall de Alcobas, Instalación de gas, Sauna / Turco / Jacuzzi, Zona de lavandería|Exteriores$Ascensor, Circuito cerrado de TV, En conjunto cerrado, Garaje(s), Jardín, Parqueadero Visitantes, Portería / Recepción, Salón Comunal, Terraza, Vigilancia|del Sector$Parques cercanos, Sobre vía principal, Supermercados / C.Comerciales, Trans. Público cercano, Zona Residencial|#Apartamento#$PentHouse",4.692749977111821,-74.06166076660159,4361702.13,1,1,3/23/2021 2:50:24 AM,https://www.fincaraiz.com.co/apartamento-en-venta/bogota/pasadena-det-6184316.aspx
2,PAISVIVIENDA SAS,Venta,Apartamento,"Excelente apartamento ubicado en cuarto piso exterior,  cocina abierta,  dos alcobas y estudio,  exterior. dos parqueaderos independientes. excelentes acabados. Edificio con terraza BBQ,  gimnasio,  cerca a Iserra 100,  almacén los tres elefantes..",565000000,Professional,94,94,Carrera 51 No. 102A - 63,"94,00 m2",2,3,1 a 8 años,4.5,4,700000,Pasadena,4,2,"Interiores$Balcón, Baño Auxiliar, Calentador, Chimenea, Citófono, Cocina Integral, Depósito / Bodega, Estudio, Instalación de gas, Zona de lavandería|Exteriores$Ascensor, Circuito cerrado de TV, Parqueadero Visitantes, Portería / Recepción, Salón Comunal, Vigilancia|del Sector$Parques cercanos, Supermercados / C.Comerciales, Trans. Público cercano, Zona Residencial",4.69093990325928,-74.0620803833008,6010638.3,1,1,3/24/2021 11:33:06 AM,https://www.fincaraiz.com.co/apartamento-en-venta/bogota/pasadena-det-6069564.aspx
3,Diana Lorena De la Rosa,Venta,Apartamento,Gran oportunidad para remodelar Se vende apartamento en barrio Pasadena precio SUPER NEGOCIABLE ubicado en zona residencial y tranquila Cerca a Carilla Ara 3 elefantes éxito express Buenas vías de acceso,330000000,Particular,73,73,Carrera 51 104 B  97,"73,00 m2",2,2,Más de 30 años,40.0,2,200000,Pasadena,2,0,"Exteriores$Parqueadero Visitantes, Portería / Recepción|del Sector$Parques cercanos, Supermercados / C.Comerciales, Trans. Público cercano, Zona Comercial, Zona Residencial",4.69373512268066,-74.0618209838867,4520547.95,0,0,3/20/2021 12:48:14 PM,https://www.fincaraiz.com.co/apartamento-en-venta/bogota/pasadena-det-6191156.aspx
4,Ecoinsa Inmobiliaria SAS,Venta,Apartamento,"HERMOSO APTO,  Iluminado con Amplios y Acogedores Espacios,  de 2 Habitaciones,  dos Baños,  Sala Comedor con Chimenea,  Cocina Cerrada. Edificio Clásico con Salón Social,  Parqueadero para visitantes y Vigilancia. Sector Residencial Recursivo,  con Facilidad de vías de Acceso y transporte Público. Encuentra más inmuebles www.ecoinsaingenieria.com,  Síguenos FB:Inmobiliariaecoinsa e IG:Ecoinsainmobiliaria..",330000000,Professional,77,77,cra 51 106-28,,2,2,16 a 30 años,23.0,2,362500,Pasadena,2,1,"Interiores$Calentador, Chimenea, Citófono, Cocina Integral, Depósito / Bodega, Instalación de gas, Zona de lavandería|Exteriores$Ascensor, Circuito cerrado de TV, Parqueadero Visitantes, Portería / Recepción, Salón Comunal, Vigilancia|del Sector$Parques cercanos, Supermercados / C.Comerciales, Trans. Público cercano, Zona Residencial",4.6951699256897,-74.0612487792969,4285714.29,1,1,3/29/2021 5:44:19 PM,https://www.fincaraiz.com.co/apartamento-en-venta/bogota/pasadena-det-5888308.aspx
5,ASESORES INTEGRALES INMOBILIARIOS E INVERSIONES SA,Venta,Apartamento,"OPORTUNIDAD VENTA APARTAMENTO PENTHOUSE CONJUNTO RESIDENCIAL ENTRADA SOBRE LA CALLE 100 QUE CONSTA DE SALA,  COMEDOR,  COCINA, 4 ALCOBAS,  VESTIER,  3 BAÑOS,  ALCOBA Y BAÑO DE SERVICIO,  ZONA DE LAVANDERIA,  TERRAZA, DEPOSITO Y 1 PARQUEADERO CUBIERTO,  EL INMUEBLE ES CERCANO A TRANSPORTE PUBLICO,  TRANSMILENIO ESTACION CALLE 100,  CERCANO A CENTROS COMERCIALES,  GRANDES ALMACENES. EL CONJUNTO CUENTA CON PARQUE INFANTIL,  CANCHAS MULTIPLES,  SALON DE REUNIONES.PRECIO NEGOCIABLE.",630000000,Professional,155,155,CARRERA 49 C # 100 -08  ENTRADA 4 BLOQUE 5 APARTAMENTO 501,"155,00 m2",4,3,16 a 30 años,23.0,5,595000,Pasadena,5,1,"Interiores$Baño Auxiliar, Chimenea, Citófono, Cocina Integral, Depósito / Bodega, Estudio, Hall de Alcobas, Instalación de gas, Zona de lavandería|Exteriores$Ascensor, Parqueadero Visitantes, Portería / Recepción, Terraza, Vigilancia, Vivienda Multifamiliar, Zona Infantil, Zonas Verdes|del Sector$Parques cercanos, Supermercados / C.Comerciales, Trans. Público cercano, Zona Residencial",4.68813228607178,-74.0615005493164,4064516.13,1,1,3/29/2021 1:43:27 PM,https://www.fincaraiz.com.co/apartamento-en-venta/bogota/pasadena-det-5225207.aspx
6,Maria Claudia  Rodriguez,Venta,Apartamento,Hermoso Apartamento en Pasadena 85 m2 Piso 4 3 alcobas 2 de ellas con baño privado y un baño completo social sala comedor cocina integral con mesón en mármol pisos laminados balcón chimenea calentador a gas parqueadero y deposito Edificio de 11 años con ascensor vigilancia 24 7 citofonía y parqueadero de visitantes Ubicado en zona residencial y muy tranquila rodeada de parques frente a estación de sitp y cerca de estación 106 y puentelargo,520000000,Particular,85,85,Cra 53 # 106-29,,3,3,9 a 15 años,12.0,0,350000,Pasadena,0,1,,4.69289112091064,-74.06390380859379,6117647.06,0,0,3/28/2021 11:58:44 PM,https://www.fincaraiz.com.co/apartamento-en-venta/bogota/pasadena-det-6216825.aspx
7,LILIANA HE,Venta,Apartamento,"Pasadena tel único 318 472 2714 dos alcobas, estudio grande+estudio pequeño , hall de alcobas ,2 baños 2, garajes, estrato 4 ,estufa a gas natural, 26 años antigüedad, calle 103 b con 49 b tiene 80 mt+2° piso",450000000,Particular,80,80,calle 103 No. 49,"80,00 m2",2,2,16 a 30 años,23.0,2,0,Pasadena,2,2,"Interiores$Baño Auxiliar, Citófono, Estudio, Instalación de gas, Zona de lavandería|Exteriores$Ascensor, En conjunto cerrado, Garaje(s), Parqueadero Visitantes, Portería / Recepción, Vigilancia|del Sector$Colegios / Universidades, Parques cercanos, Sobre vía principal, Supermercados / C.Comerciales, Trans. Público cercano, Zona Comercial",0.0,0.0,5625000.0,1,0,3/29/2021 7:36:32 PM,https://www.fincaraiz.com.co/apartamento-en-venta/bogota/pasadena-det-6215652.aspx
8,MGM GESTION INMOBILIARIA,Venta,Apartamento,"Acogedor apto 67 Mtrs. 2 habitaciones,  2 baños. Sala comedor,  cocina integral,  zona de lavandería,  depósito y 2 parqueaderos cubiertos. Puerta de seguridad y pisos laminado italiano. Muy buena iluminación y ventilación natural. 5 años de construido. Admn $190.000. El edificio cuenta con portería 24 horas,  salón social,  parqueadero visitantes. Excelentes vas de acceso: Cll 100,  116 y autopista norte,  Av Suba. Zona residencial,  cerca a parques,  centros comerciales,  bancos. PRECIO NEGOCIABLE.",435000000,Professional,67,67,CRA 50 · 104B-61,"67,00 m2",2,2,1 a 8 años,4.5,5,190000,Pasadena,5,2,"Interiores$Baño Auxiliar, Calentador, Citófono, Cocina Integral, Depósito / Bodega, Hall de Alcobas, Instalación de gas, Zona de lavandería|Exteriores$Ascensor, Circuito cerrado de TV, Parqueadero Visitantes, Portería / Recepción, Salón Comunal, Vigilancia|del Sector$Parques cercanos, Supermercados / C.Comerciales, Trans. Público cercano, Zona Residencial",0.0,0.0,6492537.31,1,1,3/27/2021 7:40:05 PM,https://www.fincaraiz.com.co/apartamento-en-venta/bogota/pasadena-det-5868303.aspx
9,Homes n Bricks,Venta,Apartamento,"Encuentra,  Arrienda o Vende con nosotros. Siempre más opciones en www.homesnbricks.com Visitanos!!  El apartamento cuenta con 3 habitaciones,  la principal con baño en suite y walk-in closet. Dos habitaciones comparten baño y hay un baño social. La sala y el comedor se encuentran en ambientes separados. En la sala hay una chimenea de leña. El piso de las áreas sociales es de madera,  y el de las habitaciones laminado. El apartamento tiene vista hacia una zona verde,  a pesar de ser interior.  La cocina tiene estufa a gas y el horno es eléctrico. Tiene cuarto y baño de servicio,  2 garajes en línea y depósito.   El edifico se compone de dos torres independientes,  tiene una terraza común al aire libre,  ubicada en el primer piso. Cuenta con vigilancia 24 horas y circuito cerrado de televisión. Existe la facilidad de acceso por múltiples vías y la cercanía de transmilenio,  supermercados y parques.    .",580000000,Professional,118,118,"carrera 53 No. 104 B - 48, apto 207","113,00 m2",3,3,16 a 30 años,23.0,2,500000,Pasadena,2,2,"Interiores$Baño Auxiliar, Baño Independiente, Calentador, Chimenea, Citófono, Closet, Cocina Equipada, Cocina Integral, Cuarto de Servicio, Depósito / Bodega, Instalación de gas, Zona de lavandería|Exteriores$Acceso Pavimentado, Ascensor, Circuito cerrado de TV, Garaje / Parqueadero(s), Garaje(s), Parqueadero Visitantes, Portería / Recepción, Salón Comunal, Terraza, Vigilancia|del Sector$Colegios / Universidades, Parques cercanos, Supermercados / C.Comerciales, Trans. Público cercano, Zona Residencial",4.69330072402954,-74.0621566772461,4915254.24,1,1,3/27/2021 5:58:55 PM,https://www.fincaraiz.com.co/apartamento-en-venta/bogota/pasadena-det-6041120.aspx
